"-- Please Select --","-- Please Select --"
"Delete","Delete"
"Delete Email Sequences","Delete Email Sequences"
"Delete Segment","Delete Segment"
"Delete Segments","Delete Segments"
"Delete Step","Delete Step"
"Disabled","Disabled"
"Downloadable Product","Downloadable Product"
"E-mails on Enter","E-mails on Enter"
"E-mails on Exit","E-mails on Exit"
"Edit","Edit"
"Edit Email Sequence Step %d for ""%s""","Edit Email Sequence Step %d for ""%s"""
"Edit Segment","Edit Segment"
"Edit Segment '%s'","Edit Segment '%s'"
"Edit Sequence","Edit Sequence"
"Email Automation","Email Automation"
"Email Automation Settings","Email Automation Settings"
"Email Sequences","Email Sequences"
"Email Template","Email Template"
"Enable/disable this sequence step","Enable/disable this sequence step"
"Enable Email Automation","Enable Email Automation"
"Enter Segment","Enter Segment"
"Error","Error"
"Exit Segment","Exit Segment"
"Expires After (Days)","Expires After (Days)"
"Failed","Failed"
"General Properties","General Properties"
"Generate a unique coupon code for each customer","Generate a unique coupon code for each customer"
"Generate Coupon","Generate Coupon"
"Generate unique coupon","Generate unique coupon"
"Grouped Product","Grouped Product"
"hours","hours"
"If %s %s %s","If %s %s %s"
"Immediate","Immediate"
"Invalid newsletter template selected.","Invalid newsletter template selected."
"Invalid request.","Invalid request."
"Invalid sales rule selected for coupon generation.","Invalid sales rule selected for coupon generation."
"Invalid segment.","Invalid segment."
"Invalid status.","Invalid status."
"Invalid trigger type.","Invalid trigger type."
"Is Active","Is Active"
"Items Count","Items Count"
"Items Quantity","Items Quantity"
"Last Refreshed","Last Refreshed"
"Last Updated Date","Last Updated Date"
"Last Viewed Date","Last Viewed Date"
"Last Viewed Date","Last Viewed Date"
"Leave empty to apply to all customer groups","Leave empty to apply to all customer groups"
"Lifetime Profit (Sales - Refunds)","Lifetime Profit (Sales - Refunds)"
"Lifetime Refunds Amount","Lifetime Refunds Amount"
"Lifetime Sales Amount","Lifetime Sales Amount"
"Manage Email Sequences","Manage Email Sequences"
"Manage Segments","Manage Segments"
"Manual","Manual"
"Master switch to enable/disable all email automation for this segment","Master switch to enable/disable all email automation for this segment"
"minutes","minutes"
"Minutes to wait before sending (0 = immediate, 60 = 1 hour, 1440 = 1 day)","Minutes to wait before sending (0 = immediate, 60 = 1 hour, 1440 = 1 day)"
"Mode","Mode"
"New Email Sequence Step for ""%s""","New Email Sequence Step for ""%s"""
"New Segment","New Segment"
"New Sequence","New Sequence"
"Newsletter","Newsletter"
"Newsletter Subscription","Newsletter Subscription"
"Newsletter Template","Newsletter Template"
"Newsletter template to use for this step","Newsletter template to use for this step"
"None","None"
"Not Active","Not Active"
"Number of days until coupon expires (default: 30)","Number of days until coupon expires (default: 30)"
"Number of Orders","Number of Orders"
"Order","Order"
"Order History","Order History"
"Order in the email sequence (1, 2, 3...)","Order in the email sequence (1, 2, 3...)"
"Pending","Pending"
"Personal Information","Personal Information"
"Please save the segment first.","Please save the segment first."
"Please select...","Please select..."
"Please select at least one website.","Please select at least one website."
"Please select segment(s).","Please select segment(s)."
"Prefix for coupon codes","Prefix for coupon codes"
"Prefix for generated coupon codes (e.g., CART, WELCOME)","Prefix for generated coupon codes (e.g., CART, WELCOME)"
"Processing","Processing"
"Product: %s","Product: %s"
"Product Type","Product Type"
"Progress record already exists for this customer and sequence.","Progress record already exists for this customer and sequence."
"Purchase Date","Purchase Date"
"Quantity in Cart","Quantity in Cart"
"Quantity Ordered","Quantity Ordered"
"Refresh Mode","Refresh Mode"
"Refresh Segments","Refresh Segments"
"Row Total","Row Total"
"Row Total (Inc. Tax)","Row Total (Inc. Tax)"
"Sales rule does not exist.","Sales rule does not exist."
"Sales rule is not active.","Sales rule is not active."
"Sales rule is required when coupon generation is enabled.","Sales rule is required when coupon generation is enabled."
"Sales rule must be configured for specific coupon codes.","Sales rule must be configured for specific coupon codes."
"Sales rule must have auto-generation enabled.","Sales rule must have auto-generation enabled."
"Sales rule to base coupon on","Sales rule to base coupon on"
"Sales rule to use as template for generated coupons","Sales rule to use as template for generated coupons"
"Save and Continue Edit","Save and Continue Edit"
"Save Email Sequences","Save Email Sequences"
"Save Segment","Save Segment"
"Save Segments","Save Segments"
"Scheduled","Scheduled"
"Segment ID is required.","Segment ID is required."
"Segment Information","Segment Information"
"Segment Name","Segment Name"
"Segment name is required.","Segment name is required."
"Segment Refresh Cron Schedule","Segment Refresh Cron Schedule"
"Selected sales rule is not active.","Selected sales rule is not active."
"Selected sales rule must be configured for ""Specific Coupon"" type.","Selected sales rule must be configured for ""Specific Coupon"" type."
"Selected sales rule must have ""Use Auto Generation"" enabled.","Selected sales rule must have ""Use Auto Generation"" enabled."
"Sent","Sent"
"Sequence ID is required.","Sequence ID is required."
"Sequence not found.","Sequence not found."
"Sequence step %d: %s","Sequence step %d: %s"
"Sequence Step Settings","Sequence Step Settings"
"Shopping Cart","Shopping Cart"
"Shopping Cart Information","Shopping Cart Information"
"Simple Product","Simple Product"
"Skipped","Skipped"
"Statistics","Statistics"
"Status Change Date","Status Change Date"
"Step","Step"
"Step Number","Step Number"
"Step number %d already exists for this segment.","Step number %d already exists for this segment."
"Step number must be greater than 0.","Step number must be greater than 0."
"Subject","Subject"
"Subscription Status","Subscription Status"
"Template ID is required.","Template ID is required."
"The email sequence has been deleted.","The email sequence has been deleted."
"The email sequence has been saved.","The email sequence has been saved."
"The segment has been deleted.","The segment has been deleted."
"The segment has been refreshed.","The segment has been refreshed."
"The segment has been saved.","The segment has been saved."
"This segment no longer exists.","This segment no longer exists."
"This sequence no longer exists.","This sequence no longer exists."
"Total of %d record(s) were deleted.","Total of %d record(s) were deleted."
"Total of %d record(s) were updated.","Total of %d record(s) were updated."
"Total Ordered Amount","Total Ordered Amount"
"Trigger event must be either ""enter"" or ""exit"".","Trigger event must be either ""enter"" or ""exit""."
"Unable to find a segment to refresh.","Unable to find a segment to refresh."
"View","View"
"View Count","View Count"
"View Customers in Segment","View Customers in Segment"
"Viewed","Viewed"
"Viewed Products","Viewed Products"
"Virtual Product","Virtual Product"
"When customer enters segment","When customer enters segment"
"When customer exits segment","When customer exits segment"
"Wishlist","Wishlist"
"Wishlist Items Count","Wishlist Items Count"
"Wishlist Shared","Wishlist Shared"
