"Price","Price"
"Price Including Tax","Price Including Tax"
"Product","Product"
"Product and Custom Options Name","Product and Custom Options Name"
"Product Category","Product Category"
"Product ID","Product ID"
"Product Image","Product Image"
"Product Type","Product Type"
"Product URL","Product URL"
"Product Website","Product Website"
"Qty","Qty"
"Qty for Item's Status to Become Out of Stock","Qty for Item's Status to Become Out of Stock"
"Qty Increments","Qty Increments"
"Qty Uses Decimals","Qty Uses Decimals"
"Read","Read"
"Refunded Qty","Refunded Qty"
"Regular Price Without Tax","Regular Price Without Tax"
"Regular Price With Tax","Regular Price With Tax"
"REST - Attributes","REST - Attributes"
"REST - Roles","REST - Roles"
"REST ACL Attributes","REST ACL Attributes"
"REST Attributes","REST Attributes"
"REST Role","REST Role"
"REST Roles","REST Roles"
"Rest Roles","Rest Roles"
"REST Roles Information","REST Roles Information"
"Retrieve","Retrieve"
"Role ""%s"" no longer exists","Role ""%s"" no longer exists"
"Role ""%s"" not found.","Role ""%s"" not found."
"Role API Resources","Role API Resources"
"Role has been deleted.","Role has been deleted."
"Role Info","Role Info"
"Role Information","Role Information"
"Role Name","Role Name"
"Roles","Roles"
"Role Users","Role Users"
"Salability Status","Salability Status"
"Sales","Sales"
"Save","Save"
"Shipped Qty","Shipped Qty"
"Shipping Amount","Shipping Amount"
"Shipping Discount","Shipping Discount"
"Shipping Including Tax","Shipping Including Tax"
"Shipping Method","Shipping Method"
"Shipping Tax","Shipping Tax"
"SKU","SKU"
"State","State"
"Stock Availability","Stock Availability"
"Stock ID","Stock ID"
"Stock Item","Stock Item"
"Stock Status","Stock Status"
"Store Currency to Order Currency Rate","Store Currency to Order Currency Rate"
"Store Name","Store Name"
"Street","Street"
"Subtotal","Subtotal"
"Subtotal Including Tax","Subtotal Including Tax"
"System","System"
"Tax Amount","Tax Amount"
"Tax Name","Tax Name"
"Tax Percent","Tax Percent"
"Tax Rate","Tax Rate"
"The ""enable_qty_increments"" field must be set to 0 or 1.","The ""enable_qty_increments"" field must be set to 0 or 1."
"The ""is_decimal_divided"" field must be set to 0 or 1.","The ""is_decimal_divided"" field must be set to 0 or 1."
"The ""is_in_stock"" field must be set to 0 or 1.","The ""is_in_stock"" field must be set to 0 or 1."
"The ""is_qty_decimal"" field must be set to 0 or 1.","The ""is_qty_decimal"" field must be set to 0 or 1."
"The ""is_qty_decimal"" field must be set to 0, 1, or 2.","The ""is_qty_decimal"" field must be set to 0, 1, or 2."
"The ""manage_stock"" field must be set to 0 or 1.","The ""manage_stock"" field must be set to 0 or 1."
"The ""stock_status_changed_auto"" field must be set to 0 or 1.","The ""stock_status_changed_auto"" field must be set to 0 or 1."
"The ""use_config_backorders"" field must be set to 0 or 1.","The ""use_config_backorders"" field must be set to 0 or 1."
"The ""use_config_enable_qty_inc"" field must be set to 0 or 1.","The ""use_config_enable_qty_inc"" field must be set to 0 or 1."
"The ""use_config_manage_stock"" field must be set to 0 or 1.","The ""use_config_manage_stock"" field must be set to 0 or 1."
"The ""use_config_max_sale_qty"" field must be set to 0 or 1.","The ""use_config_max_sale_qty"" field must be set to 0 or 1."
"The ""use_config_min_qty"" field must be set to 0 or 1.","The ""use_config_min_qty"" field must be set to 0 or 1."
"The ""use_config_min_sale_qty"" field must be set to 0 or 1.","The ""use_config_min_sale_qty"" field must be set to 0 or 1."
"The ""use_config_notify_stock_qty"" field must be set to 0 or 1.","The ""use_config_notify_stock_qty"" field must be set to 0 or 1."
"The ""use_config_qty_increments"" field must be set to 0 or 1.","The ""use_config_qty_increments"" field must be set to 0 or 1."
"The attribute rules were saved.","The attribute rules were saved."
"The role has been saved.","The role has been saved."
"The role is a special one and not for assigning it to admin users.","The role is a special one and not for assigning it to admin users."
"Total Due","Total Due"
"Total Paid","Total Paid"
"Total Refunded","Total Refunded"
"Total Reviews Count","Total Reviews Count"
"Type","Type"
"Update","Update"
"URL","URL"
"Use Config Settings for Allow Gift Message","Use Config Settings for Allow Gift Message"
"Use Config Settings for Allow Gift Wrapping","Use Config Settings for Allow Gift Wrapping"
"Use Config Settings for Backorders","Use Config Settings for Backorders"
"Use Config Settings for Enable Qty Increments","Use Config Settings for Enable Qty Increments"
"Use Config Settings for Manage Stock","Use Config Settings for Manage Stock"
"Use Config Settings for Maximum Qty Allowed in Shopping Cart","Use Config Settings for Maximum Qty Allowed in Shopping Cart"
"Use Config Settings for Minimum Qty Allowed in Shopping Cart","Use Config Settings for Minimum Qty Allowed in Shopping Cart"
"Use Config Settings for Notify for Quantity Below","Use Config Settings for Notify for Quantity Below"
"Use Config Settings for Qty for Item's Status to Become Out of Stock","Use Config Settings for Qty for Item's Status to Become Out of Stock"
"Use Config Settings for Qty Increments","Use Config Settings for Qty Increments"
"User Type","User Type"
"User type ""%s"" no longer exists","User type ""%s"" no longer exists"
"User type ""%s"" not found.","User type ""%s"" not found."
"Web Services","Web Services"
"Web services","Web services"
"Write","Write"
"ZIP/Postal Code","ZIP/Postal Code"
